NAZIV PROIZVODA,ŠIFRA PROIZVODA,MARKA PROIZVODA,NETO KOLIČINA,JEDINICA MJERE,MALOPRODAJNA CIJENA,CIJENA ZA JEDINICU MJERE,MPC ZA VRIJEME POSEBNOG OBLIKA PRODAJE,NAJNIŽA CIJENA U POSLJEDNIH 30 DANA,SIDRENA CIJENA NA 2.5.2025,BARKOD,KATEGORIJA PROIZVODA
DALMATINSKI MIX 240 g NAR SPECIAL MOMENTS,90825704,SPECIAL MOMENTS,0.24 kg,ko,5.99,24.96,,5.29,5.99,3850334431769,HRANA
SET JM BOSSA NOVA DEO75+PARF50,90826388,JEAN MARC,1.00 ko,ko,5,5,,5,5,5908241796032,KOZMETIKA
SOL CVIJET SOLI SPECIAL MOMENTS 85g,90829786,SPECIAL MOMENTS,0.09 kg,ko,4.49,52.82,,4.49,4.49,3850334430397,HRANA
SERUM NIVEA CELL E 3 ZONE LIFT 30 ml,90834753,NIVEA,0.03 l,ko,,531.33,15.94,22.79,22.79,9005800367071,KOZMETIKA
PEL PAMPERS PREMIUM VP S7 32/1,90839902,PAMPERS,32.00 ko,ko,,0.47,14.99,14.99,14.99,8700216423915,TOALETNE POTREPŠTINE
KREMA NIVEA REPAIR&CARE UREA 400 ml,90850401,NIVEA,0.40 l,ko,,21.15,8.46,9.09,12.09,9005800385587,KOZMETIKA
GEL TUŠ DOVE M EUCAL&MINT 400 ml,90850521,DOVE,0.40 l,ko,5.99,14.98,,5.99,5.99,8720181444678,KOZMETIKA
LOSION TIJ NEUTROG J SUH KOŽA 250 ml,90850531,NEUTROGENA,0.25 l,ko,,25.2,6.3,7.89,7.89,3574661182001,KOZMETIKA
ROLL ON BOROTALCO INVIS PINK 50 ml,90850647,BOROTALCO,0.05 l,ko,,39.8,1.99,1.99,3.99,80937531,KOZMETIKA
SVINJSKI ODRESCI OD BUTA AVE 400 g,90859909,AVE,0.40 kg,ko,4.99,12.48,,3.49,4.99,3831020349292,HRANA
KEKS PLAZMA SRCA NARANČA 100 g,90864882,BAMBI,0.10 kg,ko,1.79,17.9,,1.79,1.79,8600043036770,HRANA
TOAST INTEGRALNI DULCESOL 820 g,90869652,DULCESOL,0.82 kg,ko,2.59,3.16,,1.85,2.59,8410087413952,HRANA
KOLAČ COLOMBA SPECIAL M CLASS 500 g,90875432,SPECIAL MOMENTS,0.50 kg,ko,3,6,,3,4,3850334436573,HRANA
ČOKOLADA TAMNA 70% 100 g VALOR,90880106,VALOR,0.10 kg,ko,2.99,29.9,,1.99,2.99,8410109050509,HRANA
CAPP NESCAFE IRISH 336 g 3PACK,90880120,NESCAFE,0.34 kg,ko,6.99,20.8,,6.99,6.99,8445291599710,HRANA
FLUID MIXA NEPRAVILNOSTI 50 ml,90885100,MIXA,0.05 l,ko,11.49,229.8,,11.49,11.49,3600551159614,KOZMETIKA
GEL GARNIER HYALURONIC ALOE 250 ml,90885251,GARNIER,0.25 l,ko,7.99,31.96,,7.99,7.99,3600542586030,KOZMETIKA
ZP COLGATE MAX WHITE SUPERIOR 75 ml,90885363,COLGATE,0.08 l,ko,3.99,53.2,,3.99,3.99,8718951708686,KOZMETIKA
GEL TUŠ L'ANG GLOW 500 ml,90885502,L ANGELICA,0.50 l,ko,3.25,6.5,,3.25,3.25,8017331102800,KOZMETIKA
DET ARIEL FRESH 1.65 kg=30PR,90886292,ARIEL,1.65 kg,ko,16.49,9.99,,16.49,16.49,8700216733663,SREDSTVA ZA ČIŠĆENJE
TUNJ SALATA PROLJEĆE 160 g RIO MARE,90886899,RIO MARE,0.16 kg,ko,4.69,29.31,,2.15,4.69,8004030835092,HRANA
FLIPS CLIPSY MAX PILETINA 70 g,90887006,PEPSICO,0.07 kg,ko,,21.57,1.51,1.89,1.89,8606033741594,HRANA
FLIPS CLIPSY SIR/KEC/CHILI PAP 150 g,90887012,PEPSICO,0.15 kg,ko,,10.6,1.59,1.99,1.99,8606033741464,HRANA
FLIPS TIP TOP CUBICS 2X100 g,90887139,TIP TOP,0.20 kg,ko,2.49,12.45,,2.49,2.49,3856021307430,HRANA
DESERT CASALI ČOKO BANANE MINI 110 g,90887237,CASALI,0.11 kg,ko,1.79,16.27,,1.79,1.79,9000332812662,HRANA
SV SLAB I LEĐA BK CCA 580G K PLUS,90890218,K PLUS,1.00 kg,kg,7.99,7.99,,5.59,7.99,3850139286328,HRANA
GAVELINO ODR OD PILEĆEG FILEA 400 g,90890587,CEKIN,0.40 kg,ko,6.49,16.23,,5.15,6.49,3850159112874,HRANA
SALV NATUR PREM BRES 33X33 3SL 30/1,90894722,NATUR,30.00 ko,ko,0.99,0.03,,0.99,0.99,3850334432094,PROIZVODI ZA KUĆANSTVO
MALINA 125 grama,01410092,,0.13 kg,ko,1.99,15.92,,1.55,1.55,8013912170046,HRANA
JABUKA ZLATNI DELIŠES,01411106,,1.00 kg,kg,1.59,1.59,,1.59,1.59,3850334173614,HRANA
UMAK PESTO ROSO 200g BARILLA,01490570,BARILLA,0.20 kg,ko,4.95,24.75,,2.99,4.95,8076809523547,HRANA
KUKURUZ ŠEĆERAC 140g LIM PODRAVKA,01492145,PODRAVKA,0.14 kg,ko,1.19,8.5,,1.19,1.19,3850104221682,HRANA
PAPRIKA CIJELA 350G CIJ.MASA,01525024,SLOVA,0.35 kg,ko,1,2.86,,1,1,3850334045157,HRANA
GRAH CRVENI 460g PODRAVKA,01529015,PODRAVKA,0.46 kg,ko,2.19,4.76,,2.19,2.19,3850104020728,HRANA
KETCHUP LJUTI HEINZ 570G,90179070,HEINZ,0.57 kg,ko,4.25,7.46,,2.99,4.25,8715700420363,HRANA
VANILIN ŠEĆER XXL 40G DR OETKER,90185547,DR OETKER,0.04 kg,ko,0.59,14.75,,0.59,0.59,5997381358279,HRANA
PAP RUPČIĆI NATUR KUTIJA 2SL 150/1,90189209,NATUR,149.93 ko,ko,1.59,0.01,,1.59,1.59,3838900976647,TOALETNE POTREPŠTINE
BOJA SYOSS OLEO 4-86 ČOKO SMEĐA,90213254,SYOSS OLEO,1.00 ko,ko,,6.49,6.49,6.49,7.99,9000100927055,KOZMETIKA
CHOCO BALLS LUMPI 90G,90251722,LUMPI,0.09 kg,ko,0.89,9.89,,0.89,0.89,3850334577726,HRANA
PROIZ BILJ BAZ OKUS PARMEZ RIB 100g,90263987,GREEN VIE,0.10 kg,ko,,13.8,1.38,1.66,1.66,5292874000032,HRANA
SV MLJEVENA 540G (MA),90276060,PIK VRBOVEC,0.54 kg,ko,2.22,4.11,,1.55,2.22,3850139540598,HRANA
NEKTARINA 500 grama,90290721,,0.50 kg,ko,2.49,4.98,,2.49,2.79,3858885879948,HRANA
SIR POLUTV K PLUS GOUDA DIMLJ 100g,90291808,K PLUS,0.10 kg,ko,1.45,14.5,,1.45,1.45,3850334343475,HRANA
JUN LOPATICA BK MARTINJAK,90295401,,1.00 kg,kg,9.89,9.89,,9.89,9.89,3859893702648,HRANA
DŽEM MARELICA 430g MADRE NATURA,90300422,MADRE NATURA,0.43 kg,ko,,7.63,3.28,3.99,3.99,3859892918408,HRANA
SOL MORSKA SITNA SOLJENKA 250g SOLANA NIN,90311276,SOLANA NIN,0.25 kg,ko,1.06,4.24,,1.06,1.06,3859888595644,HRANA
VINO FRANKOVKA 1L VINA BELJE,90311428,BELJE,1.00 l,ko,7.05,7.05,,7.05,7.05,3850257020224,PIĆE
FANT UMAK OD GLJIVA 45g PODRAVKA,90332058,FANT,0.05 kg,ko,1.09,24.22,,1.09,1.09,3850104298202,HRANA
ČETKICA PARODONTAX INTERD EXT SOFT,90334845,PARODONTAX,1.00 ko,ko,5.05,5.05,,5.05,5.05,5054563049469,KOZMETIKA
GEL TUŠ L'ANGELICA ALOA VERA 500ml,90341634,L ANGELICA,0.50 l,ko,3.25,6.5,,1.99,3.25,8017331076798,KOZMETIKA
ČOKOLADA MILKA NUTS NOUGAT 300g,90354249,MILKA,0.30 kg,ko,6.79,22.63,,3.99,3.99,7622200004515,HRANA
KREMA NOĆ OLEA HYDRATING 50ml,90362335,OLEA,0.05 l,ko,,53,2.65,3.35,3.35,3850334150707,KOZMETIKA
KUSKUS ZP 250g PODRAVKA,90362674,ZLATO POLJE,0.25 kg,ko,1.5,6,,1.5,1.5,3838700378078,HRANA
KAVA PERFETTO LATTE DG 10/1 160g BAR,90363510,BARCAFFE,0.16 kg,ko,3.98,24.88,,3.98,3.98,3838471037792,HRANA
DESERT KIT KAT MINI 12/1 200g,90364361,KIT KAT,0.20 kg,ko,4.49,22.45,,4.49,4.49,5000189974579,HRANA
POSEBNA K PLUS PILEĆA/PUREĆA 500g,90364986,K PLUS,0.50 kg,ko,1.59,3.18,,1.59,1.59,3850334186232,HRANA
 PIVO HLADNO PIVO 0.5L NB,90380397,MEDVEDGRAD,0.50 l,ko,2.39,4.78,,2.39,2.39,3859893357053,PIĆE
ZAČIN CIMET POSIP 45g VEG MAESTRO,90381078,VEGETA MAESTRO,0.05 kg,ko,1.99,44.22,,1.99,1.99,3856020233082,HRANA
VLAŽNE MARAMICE UNIVERZALNE OLEA 20/1,90382174,OLEA,20.00 ko,ko,0.89,0.04,,0.49,0.89,3850334520128,TOALETNE POTREPŠTINE
NAPITAK RIŽA KOKOS 1L BIO ZONE,90402151,BIO ZONE,1.00 l,ko,2.25,2.25,,1.59,2.25,3850334129499,HRANA
MLIJEKO ZAMJ HIPP 3 COMBIOTIK 600g,90406110,HIPP,0.60 kg,ko,14.69,24.48,,14.69,14.69,4062300398924,HRANA
ČAJ KADULJA 45g NATURAVITA,90407186,NATURAVITA,0.05 kg,ko,1.69,37.56,,1.69,1.69,3858884092072,HRANA
BRAŠNO BADEMOVO 500g LETIFICO,90412460,LETIFICO,0.50 kg,ko,10.62,21.24,,10.62,10.62,3859893457234,HRANA
DN UL VIOL WE CARE AIR FIT LONG 50/1  ,90424459,VIOLETA,50.00 ko,ko,,0.04,1.99,1.99,2.65,3870128023741,TOALETNE POTREPŠTINE
KNEDLE SA ŠLJIVAMA MINUTE 1000g,90425459,MINUTE,1.00 kg,ko,2.39,2.39,,2.01,2.01,3850334234124,HRANA
METLA SOB VILEDA UNIV S DRŠKOM,90427851,VILEDA,1.00 ko,ko,13.25,13.25,,6.99,13.25,4023103178212,PROIZVODI ZA KUĆANSTVO
TIROLSKA NAR 100g PODRAVKA,90428215,PODRAVKA,0.10 kg,ko,1.99,19.9,,1.99,1.99,3856020241544,HRANA
SLANINA NARESCI 90g DOBRO,90428295,DOBRO,0.09 kg,ko,3.19,35.44,,2.49,3.19,3850133800827,HRANA
TUNJ KOM MASL ULJE 2X80g EVA,90442833,EVA,0.10 kg,ko,5.39,51.83,,5.39,5.39,3850104301360,HRANA
KEKS PLAZMA KOCKA BIJELA ČOKOLADA 130g,90473031,BAMBI,0.13 kg,ko,2.35,18.08,,2.35,2.35,8600043029567,HRANA
DEO AXE BLACK XXL 250ml,90477885,AXE,0.25 l,ko,6.49,25.96,,6.49,6.49,8720181047725,KOZMETIKA
BALZAM KCG ZA BRADU 100ml,90478670,GILLETTE,0.10 l,ko,11.69,116.9,,11.69,11.69,8006540150450,KOZMETIKA
PIZZA LEDO CAPRICCIOSA 330g,90485042,LEDO,0.33 kg,ko,3.99,12.09,,3.99,3.99,3850116038155,HRANA
KRUH CHIA 400g PAK MLINAR,90485261,MLINAR,0.40 kg,ko,,4.48,1.79,1.79,1.79,3858889894039,HRANA
SOK NUTRINO JAB I BRES 200ml,90494044,NUTRINO,0.20 l,ko,,4,0.8,0.95,0.95,8606019652050,PIĆE
ŠTAPIĆI ZA UŠI LUMPI 60/1 PAP,90494202,LUMPI,60.02 ko,ko,0.79,0.01,,0.79,0.79,8605002353202,TOALETNE POTREPŠTINE
JOGURT PROACTIVE ACTIVE ZONE 1% 330g,90513448,ACTIVE ZONE,0.33 kg,ko,,2.88,0.95,0.95,0.95,3850334394057,HRANA
UMAK PESTO BOSILJ I CHILLI PAP 195g BARILLA,90572095,BARILLA,0.20 kg,ko,4.89,25.08,,2.99,4.89,8076809578264,HRANA
KEKS FINESSE NOUGATELLI 175g,90578048,FINESSE,0.18 kg,ko,2.19,12.51,,2.19,2.19,3850334000927,HRANA
KREMA LICE GARNIER VIT C 50ml,90598199,GARNIER,1.00 ko,ko,8.49,8.49,,8.49,8.49,3600542471039,KOZMETIKA
BOJA EXCELL 10 UNIV LIGHTEST BLOND,90598617,LOREAL EXCELLANCE,1.00 ko,ko,7,7,,7,7,3600523998234,KOZMETIKA
GEL TUŠ BIOB BOTANIKA ROSARY 250ml,90599312,BIOBAZA,0.25 l,ko,,8.96,2.24,2.99,2.99,3856020910358,KOZMETIKA
GAZ PIĆE COCKTA BLONDIE 1.5L,90600103,COCKTA,1.50 l,ko,1.79,1.19,,1.45,1.45,3838471047326,PIĆE
ČOKOL SAMO TI LJEŠNJAK 100g,90600435,SAMO TI,0.10 kg,ko,1.29,12.9,,0.79,1.29,3858881065000,HRANA
SALVETE PREMIUM ŽUTA 33X33 3SL 30/1,90632935,NATUR,1.00 ko,ko,1.06,1.06,,1.06,1.06,3850334017987,PROIZVODI ZA KUĆANSTVO
SOL KAMENA KUT 1 kg K PLUS,90648400,K PLUS,1.00 kg,ko,0.55,0.55,,0.55,0.55,3850334058928,HRANA
ČOKOLADA FINESSE CIJELI LJEŠNJAK 220g,90648567,FINESSE,0.22 kg,ko,3.39,15.41,,3.39,3.39,3838900807644,HRANA
JUHA KREM RAJČ I MOZZ 23g FIN MINI,90045355,FINI MINI,0.02 kg,ko,0.79,34.35,,0.59,0.79,3850104260940,HRANA
ZIGANTE KOLEKCIJA 3/1,90049913,ZIGANTE,0.09 kg,ko,15.93,176.82,,15.93,15.93,3859889179737,HRANA
RIŽA K PLUS PARBOILED 1kg KUT,90056516,K PLUS,1.00 kg,ko,2.65,2.65,,2.65,2.65,3850334339249,HRANA
ČOKOLADA MILKY PLUS 90g KANDI,90059584,KANDIT,0.09 kg,ko,1.69,18.78,,1.69,1.69,3858881047693,HRANA
VOSAK TAFT POWER 75ml,90060148,TAFT,0.08 l,ko,,58.53,4.39,4.39,5.49,9000100340373,KOZMETIKA
NEKTAR JABUKA YIPPY 0.33L PET,90060457,YIPPY,0.33 l,ko,1.39,4.21,,1.25,1.25,9008700141918,PIĆE
KEKS ČAJNI KOLUTIĆI 700g KOESTLIN,90061673,KOESTLIN,0.70 kg,ko,3.89,5.56,,3.89,3.89,3856014111976,HRANA
ULJE SPR AMBRE SOL F30 150ml,90064123,GARNIER AMBRE SOLAIR,0.15 l,ko,,99.87,14.98,19.99,19.99,3600542452465,KOZMETIKA
RIŽA K PLUS 500g 4X125g DUGO ZRNO,90071920,K PLUS,0.50 kg,ko,1.19,2.38,,1.19,1.19,3850334363640,HRANA
KEKS BABY LINO 140g,90084045,LINO,0.14 kg,ko,1.89,13.5,,1.89,1.89,3850104269219,HRANA
NEGAZ PIĆE CRNI RIBIZL I NAR  FRUCTAL CLASS 1L,90112729,FRUCTAL,1.00 l,ko,,1.49,1.49,1.39,1.89,3838945029247,PIĆE
MUESLI CRUNCHY CHOCOLATE 350g AWT,90170685,NATUREL,0.35 kg,ko,,7.4,2.59,2.59,3.59,3859889139304,HRANA
SOK FRUCTAL JABUKA 0.2L,90171698,FRUCTAL,0.20 l,ko,0.95,4.75,,0.75,0.95,3838945028547,PIĆE
KAŠ LINO  JAB BAN 190G,90184174,LINO,0.19 kg,ko,1.59,8.37,,1.59,1.59,3850104280092,HRANA
ŠUNKA K PLUS DIMLJENA 1/2 VAK,90266184,K PLUS,1.00 kg,kg,9.99,9.99,,6.59,9.99,3850139285505,HRANA
ČAJ ZELENI AO 36g PODRAVKA,90268525,PODRAVKA,0.04 kg,ko,1.99,55.28,,1.99,1.99,3850104249006,HRANA
ZABATAK PILEĆI K PLUS,90270059,K PLUS,1.00 kg,kg,4.09,4.09,,4.09,4.09,3850159118067,HRANA
VODA SENSATION EUROPA 0.5L,90286676,SENSATION,0.50 l,ko,1.05,2.1,,1.05,1.05,3858890873474,PIĆE
KRPA POD PAMUK DAX 1/1,90289988,DAX,1.00 ko,ko,0.8,0.8,,0.56,0.8,3850334608024,PROIZVODI ZA KUĆANSTVO
SIR POLUTVRDI TRAPIST K PLUS 100g,90291798,K PLUS,0.10 kg,ko,1.45,14.5,,1.19,1.19,3850334343505,HRANA
VINO MERLOT PLANTAŽE 0.75L VRH,90296262,PLANTAŽE,0.75 l,ko,6.65,8.87,,6.65,6.65,3899003001025,PIĆE
PIVO 5TH ELEMENT IPA 0.5L NB,90298340,5TH ELEMENT,0.50 l,ko,2.55,5.1,,2.55,2.55,3859892222956,PIĆE
KREMA ZA RUKE NIV REF CARE ALOE VERA 75ml,90299019,NIVEA,0.08 l,ko,,27.87,2.09,2.99,2.99,9005800291871,KOZMETIKA
CAPP FR NOUGAT KUT 148g,90308377,FRANCK,0.15 kg,ko,,22.23,3.29,3.29,3.89,3858881088627,HRANA
SAPUN TEK PALM LHS DOYP MILK&HONEY 1L,90311122,PALMOLIVE,1.00 l,ko,,3.49,3.49,4.99,4.99,8714789992013,KOZMETIKA
VRHNJE KISELO K PLUS 180g 20%,90311197,K PLUS,0.18 l,ko,,3.06,0.55,0.55,0.69,3850334352460,HRANA
GOURMET MON PETIT PILETINA 6x50g,90320290,GOURMET,0.30 kg,ko,3.09,10.3,,2.49,3.09,7613036861175,PROIZVODI ZA KUĆANSTVO
KAŠ INST ČOKOLINO BABY 210g,90320516,LINO,0.21 kg,ko,2.59,12.33,,1.99,1.99,3856020211073,HRANA
BOLERO CLASSIC JAGODA 9g,90325848,BOLERO,0.01 kg,ko,0.89,98.89,,0.89,0.89,3800048200212,PIĆE
DRESSING SA ZAČINIMA 230ml DEVELEY,90326157,DEVELEY,0.23 l,ko,2.49,10.83,,1.74,2.49,4006824991490,HRANA
PERFECT FIT SM PILETINA 750g,90335138,PERFECT FIT,0.75 kg,ko,6.19,8.25,,6.19,6.19,5900951307645,PROIZVODI ZA KUĆANSTVO
KREMA ZA RUKE AFRODITA ARGAN 100ml,90341846,AFRODITA,0.10 l,ko,3.69,36.9,,3.69,3.69,3831070655718,KOZMETIKA
VODA JAMNICA 4PACK 1.5L PET,90359895,JAMNICA,6.00 l,ko,3.49,0.58,,3.49,3.49,3858890874525,PIĆE
BISKVIT MILKA TENDER COW 140g,90361895,MILKA,0.14 kg,ko,3.39,24.21,,2.37,3.39,7622210590664,HRANA
ŠAMPON DRY SYOSS PURE 200ml,90362162,SYOSS,0.20 l,ko,,22.45,4.49,4.49,4.49,9000101231502,KOZMETIKA
STUDENTSKI MIX GARD GOOD SLANI 180g,90363779,GARDEN GOOD,0.18 kg,ko,1.89,10.5,,1.29,1.79,3838900958568,HRANA
ČOKOLADA MILKA JAGODA CHEESECAKE 300g,90370102,MILKA,0.30 kg,ko,6.79,22.63,,3.99,3.99,7622210683724,HRANA
BOJA TEKUĆA JESTIVA PLAVA 30ml  DR.OETKER,90377980,DR OETKER,0.03 l,ko,1.59,53,,1.59,1.59,5907707059469,HRANA
ZP COLG ADV WH CHARCOAL 75ml,90378129,COLGATE,0.08 l,ko,2.99,39.87,,2.09,2.99,8718951253827,KOZMETIKA
PRAŠAK NAG ORGANIC COCOA NIBS 250g,90400286,POLLEO,0.25 kg,ko,7,28,,7,7,3858892290880,HRANA
KOLAČI MIJEŠANI 500g MLINAR,90400680,MLINAR,0.50 kg,ko,10.09,20.18,,6.99,10.09,3858889892509,HRANA
EKSTRA DJEVIČANSKO MASLINOVO ULJE MIX 0.25L SAN ANTONIO,90404070,SAN ANTONIO,0.25 l,ko,9.49,37.96,,8.19,9.49,3859892822071,HRANA
SHEBA DELIKATESSE MIX IZBOR 4X85g,90405328,SHEBA,0.34 kg,ko,3.29,9.68,,2.59,2.59,4770608257132,PROIZVODI ZA KUĆANSTVO
CEDEVITA FRESH NARANČA 0.34L,90405338,CEDEVITA,0.34 l,ko,1.15,3.38,,1.05,1.15,3850322013366,PIĆE
MARAMICE SUPER JON UNIV 60 KOM,90406293,SUPER JON,60.02 ko,ko,,0.04,2.19,2.19,2.95,3850111901089,SREDSTVA ZA ČIŠĆENJE
KISELO VRHNJE MILERAM 22% 400g DUKAT,90410318,BRZO&FINO,0.40 kg,ko,2.39,5.98,,2.39,2.39,3850354009900,HRANA
ŠLAG PJENA 114g  DR OETKER,90412541,DR OETKER,0.11 kg,ko,2.38,20.88,,2.38,2.38,5997381375689,HRANA
JUHA RAMEN MISO 66g AJINOMOTO,90412635,AJINOMOTO,0.07 kg,ko,1.69,25.61,,1.69,1.69,5901384500610,HRANA
ZP PLID EXTSMILE WH 75ml,90423056,PLIDENTA,0.08 l,ko,2.15,28.67,,1.49,2.15,3856007908033,KOZMETIKA
ČEŠNJAK U GRAN ECONOMY 120g KOTANYI,90423165,KOTANYI,0.12 kg,ko,3.95,32.92,,3.49,3.95,9001414008133,HRANA
LINO MOJ PRVI FLIPS MRKVA 35g,90423584,LINO,0.04 kg,ko,1.95,55.71,,1.95,1.95,3856020241025,HRANA
DEO OLD SPICE WHITE 2x150ml,90425037,OLD SPICE,0.30 l,ko,5,16.67,,5,5,8001841670720,KOZMETIKA
PILEĆA JETRA SA SRCEM K PLUS,90452976,K PLUS,1.00 kg,kg,3.59,3.59,,3.59,3.59,3850159118104,HRANA
MASLINE ZELENE S PAP 200g ZVIJEZDA,01580216,ZVIJEZDA,0.20 kg,ko,3.39,16.95,,3.39,3.39,3858882213790,HRANA
ŠUNKA DIMLJENA 1/2 VAC PIK VRBOVEC,02016324,PIK VRBOVEC,1.00 kg,kg,12.29,12.29,,6.79,12.29,3850139340075,HRANA
POSEBNA PUREĆA 500g VINDIJA,02044187,VINDON,0.50 kg,ko,1.99,3.98,,1.59,1.99,3850159128332,HRANA
GRAH S KOBASICOM 400g PODRAVKA,02166109,PODRAVKA,0.40 kg,ko,3.69,9.23,,2.92,3.69,3850104035739,HRANA
SLAD QUATTRO FANTASY 1650ml,02351265,QUATTRO,1.65 l,ko,7.49,4.54,,4.99,7.49,3850116036144,HRANA
SIR NAM MIX 200g VINDIJA,02390867,Z BREGOV,0.20 kg,ko,1.99,9.95,,1.39,1.99,3850108059069,HRANA
SV SLABINA I LEĐA SK BEZ FILEA  ,02400067,PIK VRBOVEC,1.00 kg,kg,5.49,5.49,,5.49,5.49,3850139523409,HRANA
SV NOGICE  ,02402185,PIK VRBOVEC,1.00 kg,kg,2.15,2.15,,2.15,2.15,3850139280135,HRANA
VINO PLAVAC MILI 0.75L VRH ISTRAVINO,03020349,ISTRAVINO,0.75 l,ko,10.19,13.59,,10.19,10.19,3850142172168,PIĆE
VINO ŽDREPČEVA KRV 0.75L STOL ČOKA,03024246,VIN ČOKA,0.75 l,ko,4.29,5.72,,3.39,4.29,8600102938083,PIĆE
PIVO HEINEKEN 0.33L LIM,03040407,HEINEKEN,0.33 l,ko,1.35,4.09,,1.35,1.35,3850103902391,PIĆE
RAKIJA KOMOVICA 1L VINOPLOD,03060200,VINOPLOD,1.00 l,ko,14.05,14.05,,14.05,14.05,3859888129900,PIĆE
OCAT K PLUS JABUČNI 1L,03120129,K PLUS,1.00 l,ko,1.05,1.05,,1.05,1.05,3850334125309,HRANA
NEGAZIRANO PIĆE MULTI YIPPY  0.33L,03141848,YIPPY,0.33 l,ko,1.39,4.21,,1.25,1.25,9008700141963,PIĆE
NEGAZ PIĆE JUICY FRUITS NAR NEKT 0.5L JAM,03145075,JUICY FRUITS,0.50 l,ko,1.09,2.18,,1.05,1.09,3858890975154,PIĆE
NAPITAK RED BULL 0.25L,03163559,RED BULL,0.25 l,ko,1.69,6.76,,1.19,1.19,9002490100070,PIĆE
ULJE MASLIN EX DJ 0.5L ZVIJEZDA,03210019,ZVIJEZDA,0.50 l,ko,7.49,14.98,,7.49,7.49,3858882211574,HRANA
KRUH TRI ŽITARICE 500g MASTER,04010633,MASTERMACHER,0.50 kg,ko,2.39,4.78,,2.39,2.39,4000446001735,HRANA
BRAŠNO GLATKO T-550 1kg PODRAVKA,04030203,PODRAVKA,1.00 kg,ko,0.79,0.79,,0.79,0.79,3850104223624,HRANA
TIJESTO K PLUS CHIFERI RIG 55 500g,04057603,K PLUS,0.50 kg,ko,1.29,2.58,,1.29,1.29,,HRANA
RIŽA ORO PARAB 1kg SCOTTI,04060050,RISO SCOTTI,1.00 kg,ko,3.98,3.98,,2.49,2.49,8001860190520,HRANA
BOSILJAK MRVLJENI 9g VREĆ  KOTANYI,04100130,KOTANYI,0.01 kg,ko,0.99,110,,0.99,0.99,9001414018002,HRANA
ZAČIN PEPERONCINI 15g BOČ KOTANY,04100526,KOTANYI,0.02 kg,ko,2.29,152.67,,2.29,2.29,9001414040058,HRANA
PAPRIKA TUCANA 50g ŠAFRAM,04101008,ŠAFRAM,0.05 kg,ko,1.13,22.6,,1.13,1.13,3859888163287,HRANA
SOL MORSKA SITNA 1kg KUT SOLANA,04110310,SOLANA PAG,1.00 kg,ko,0.89,0.89,,0.89,0.89,3859888155114,HRANA
JUHA GOVEĐ S TIJES 65g PODRAVKA,04162627,PODRAVKA,0.07 kg,ko,0.99,15.23,,0.79,0.79,3850104003134,HRANA
BOMBON MENTOS DUGINE BOJE 37.5g,04193161,MENTOS,0.04 kg,ko,0.89,23.73,,0.89,0.89,87311396,HRANA
PRELJEV ČOKOLADA 230g SLADKI GREH,04220806,SLADKI GREH,0.23 kg,ko,2.99,13,,2.99,2.99,3838900032787,HRANA
DESERT CORNY BIG BANANA 50g,04221369,SCHWARTAU,0.05 kg,ko,1.19,23.8,,1.19,1.19,4011800584511,HRANA
PERECI SALINIS BEZ GL 60g SCHAR,04280003,DR SCHAR,0.06 kg,ko,,24.67,1.48,1.86,1.86,8008698002070,HRANA
TIJESTO SPAGHETTINI 3 500g BARILLA,04410094,BARILLA,0.50 kg,ko,1.09,2.18,,1.09,1.09,8076800195033,HRANA
RUPČIĆI PAP VIOLETA MENTOL 3SL 10/1,05083090,VIOLETA,10.00 ko,ko,1.99,0.2,,1.99,1.99,3870128000537,TOALETNE POTREPŠTINE
ZP PARODONT FLUORID 75ml,06537553,PARODONTAX,0.08 l,ko,5.55,74,,2.99,5.55,5054563110350,KOZMETIKA
DEO AXE AFRICA 150ml    5874,06550028,AXE,0.15 l,ko,,22.73,3.41,4.55,4.55,8717644013045,KOZMETIKA
ROLL ON NIVEA DOUBLE EFECT 50ml,06552527,NIVEA,0.05 l,ko,,83.8,4.19,4.19,4.19,42242253,KOZMETIKA
SAKUPLJAČ VLAGE BISON BAZA 450g,08030785,BISON,0.45 kg,ko,9.49,21.09,,9.49,9.49,8710439279060,SREDSTVA ZA ČIŠĆENJE
BOMBONI K PLUS MENTOL 100g,90029865,K PLUS,0.10 kg,ko,0.59,5.9,,0.59,0.59,3850334211866,HRANA
VODICA LISTERINE COOL 95ML,90031341,LISTERINE,0.10 l,ko,1.89,19.9,,1.89,1.89,3574660458879,KOZMETIKA
SALV PALOMA MAR&SEA 33X33 3SL 20/1,90069671,PALOMA,20.00 ko,ko,2.55,0.13,,2.55,2.55,3838952021913,PROIZVODI ZA KUĆANSTVO
RUČNIK PAP PALOMA MEGA 3SL 2/1,90069679,PALOMA,2.00 ko,ko,3.32,1.66,,1.55,3.32,3838952018814,PROIZVODI ZA KUĆANSTVO
SAPUN TEK PALM OLIVE REF 500ml,90070698,PALMOLIVE,0.50 l,ko,,4.38,2.19,3.19,3.19,8003520039545,KOZMETIKA
KREMA RUKE NEUTROG S MIRISOM 75ML,90079126,NEUTROGENA,0.08 l,ko,,52.13,3.91,4.89,4.89,3574660258264,KOZMETIKA
VODA CETINA IZVORSKA 0.75L PET NEGAZIRANA,90081515,CETINA,0.75 l,ko,0.75,1,,0.75,0.75,3859890129370,PIĆE
