naziv;¹ifra;marka;neto kolièina;jedinica mjere;MPC;cijena za jedinicu mjere;MPC za vrijeme posebnog oblika prodaje;Najni¾a cijena u posljednjih 30 dana;datum sidrene cijene;sidrena cijena na 2.5.2025.;barkod;kategorija proizvoda
BADEL DOMAÆI 1 L;9116;;1.0000;l;11.02;11.02;;;02.05.2025;11.02;3850112145109;Piæa
BADEL DOMAÆI 0,5 L;9117;;0.5000;L;7.02;14.04;;;02.05.2025;7.02;3850112145123;Piæa
BADEL DOMAÆI 0,1 L;9119;Badel;0.1000;l;1.69;16.90;;;02.05.2025;1.69;3850112145147;Piæa
VINO CR.POLUSLAT.VENUS 1 L ;9129;;1.0000;l;4.89;4.89;;;02.05.2025;4.89;3859892866884;Piæa
VINO MALVAZIJA ISTARSKA 1 L;9130;;1.0000;L;7.52;7.52;;;02.05.2025;7.52;3858881193321;Piæa
VINO VRANAC VINEA 1 L;9133;;1.0000;l;4.79;4.79;;;02.05.2025;4.79;3859892866938;Piæa
VINO PLAVAC DE MAR 0,75 L;9135;;0.7500;L;4.99;6.65;;;02.05.2025;4.99;3858882610865;Piæa
VINO  POSTUP DONJA BAN.0,75 L ;9137;;0.7500;l;14.22;18.96;;;02.05.2025;14.22;3859893014017;Piæa
BLACKY VODKA ©UMSKO VOÆE 0,7 L;9152;Istravino;0.7000;l;7.99;11.41;;;02.05.2025;8.49;4000152004570;Piæa
VINO TRAMINAC KB ILOÈKI P.0,5L;9182;;0.5000;l;20.02;40.04;;;02.05.2025;20.02;3859889556873;Piæa
OSVJ.PIÆE YIPPY JABUKA 0,2 L ;9197;;0.2000;l;0.69;3.45;;;02.05.2025;0.69;9008700149242;Piæa
OSVJ.PIÆE YIPPY NARANÈA 0,2 L ;9199;;0.2000;l;0.69;3.45;;;02.05.2025;0.69;9008700149266;Piæa
NEKTAR BRAVO MULTIVITAMIN 2 L;9224;Bravo;2.0000;l;3.19;1.60;;;02.05.2025;2.99;90020841;Piæa
NEKTAR BRAVO NARANÈA 2 L ;9225;Bravo;2.0000;l;3.99;2.00;;;02.05.2025;3.69;9008700145268;Piæa
KREMA ZA TORTE DR.OETK.VAN.45g;9247;Dr. Oetker;0.0450;kg;1.59;35.33;;;02.05.2025;1.59;5997381312257;Hrana
LOSION POS. BR.RALON 50 ml;9248;Ralon;0.0500;L;2.69;53.80;;;02.05.2025;2.69;3856007900983;Kozmetika
LOSION POS. BR.RALON  85 ml;9250;Ralon;0.0850;L;3.69;43.41;;;02.05.2025;3.69;3856007900976;Kozmetika
LOSION POS.BR.RALON SPOR.85 ml;9257;Ralon;0.0850;L;3.79;44.59;;;02.05.2025;3.79;3856007900990;Kozmetika
KREMA ZA TORTE DR.OETK.ÈOK.45g;9258;Dr. Oetker;0.0450;kg;1.59;35.33;;;02.05.2025;1.59;5997381312264;Hrana
KREMFIX DR.OETKER 10g;9260;Dr. Oetker;0.0100;kg;0.49;49.00;;;02.05.2025;0.49;5997381312288;Hrana
LIMUNSKA KISEL. DR.OETKER 20 g;9268;Dr. Oetker;0.0200;kg;0.59;29.50;;;02.05.2025;0.59;5997381312332;Hrana
KONZERVANS DR.OETKER 8g;9274;Dr. Oetker;0.0080;kg;0.29;36.25;;;02.05.2025;0.29;5997381324205;Hrana
TAB.PITROID PROT.KOMARACA 30/1;9290;Pitroid;30.0000;kom;3.55;0.12;;;02.05.2025;3.55;3856007902093;Proizvodi za kuæanstvo
EL.APARAT PITROID+TEK.PUNJENJE;9295;Pitroid;1.0000;kom;8.69;8.69;;;02.05.2025;8.69;3856007902086;Proizvodi za kuæanstvo
SPIRALE PITROID NEUTRAL 10/1  ;9299;Pitroid;10.0000;kom;2.75;0.28;;;02.05.2025;2.75;3856007902123;Proizvodi za kuæanstvo
SPIRALE PITROID CITRON.5x2 ;9305;Pitroid;10.0000;kom;2.99;0.30;;;02.05.2025;2.99;3856007902116;Proizvodi za kuæanstvo
D®EMFIX DR.OETKER 25 g;9309;Dr. Oetker;0.0250;kg;1.39;55.60;;;02.05.2025;1.39;5997381370875;Hrana
MUHOLOVKE PITROID 4/1;9313;Pitroid;4.0000;kom;1.95;0.49;;;02.05.2025;1.95;3856007901836;Proizvodi za kuæanstvo
TEK.PUNJ.PITROID P.KOMARACA ;9317;Pitroid;1.0000;kom;3.99;3.99;;;02.05.2025;3.99;3856007902062;Proizvodi za kuæanstvo
EL.APARAT PITROID +10 TABLETA;9328;;1.0000;kom;6.45;6.45;;;02.05.2025;6.45;3856007902055;Proizvodi za kuæanstvo
SPR.PITROID PROTIV KUKA.400 ml;9331;;0.4000;L;4.19;10.48;;;02.05.2025;4.19;3856007902024;Proizvodi za kuæanstvo
FIX PIKANT DR.OET.KISELI 100 g;9334;Dr. Oetker;0.1000;kg;0.99;9.90;;;02.05.2025;0.99;5997381327077;Hrana
PUDING ÈOKOLADA DR.OETKER 49 g;9344;Dr. Oetker;0.0490;kg;0.79;16.12;;;02.05.2025;0.79;5997381312356;Hrana
PUDING VANILIJA DR.OETKER 38 g;9347;Dr. Oetker;0.0380;kg;0.79;20.79;;;02.05.2025;0.79;5997381375610;Hrana
PUDING SL.VRHNJE DR.OETKER 40g;9352;Dr. Oetker;0.0400;kg;0.79;19.75;;;02.05.2025;0.79;5997381312387;Hrana
KVASAC INSTANT DR.OETKER 7 g;9361;Dr. Oetker;0.0080;kg;0.59;73.75;;;02.05.2025;0.59;4000521000349;Hrana
KREMA GALETTA DR.OETK.VAN.85g;9368;Dr. Oetker;0.0850;kg;1.19;14.00;;;02.05.2025;1.19;5997381372725;Hrana
PUDING VRHNJE DR.OETKER 120g ;9406;Dr. Oetker;0.1200;kg;2.19;18.25;;;02.05.2025;2.19;5997381320658;Hrana
PUDING MALINA DR.OETKER 120g ;9410;Dr. Oetker;0.1200;kg;2.19;18.25;;;02.05.2025;2.19;5997381320634;Hrana
GUSTIN DR.OETKER 200g;9412;Dr. Oetker;0.2000;kg;1.89;9.45;;;02.05.2025;1.89;5997381343664;Hrana
HRANA ZA PSE CESAR TEL.150 g;9420;Cesar;0.1500;kg;1.79;11.93;;;02.05.2025;1.79;4008429158766;Proizvodi za kuæanstvo
KREMFIX DR.OETKER 30g 3/1;9422;Dr. Oetker;0.0300;kg;1.29;43.00;;;02.05.2025;1.29;5997381321228;Hrana
PRA©.PECIVO DR.OETK.12 g (5+1);9431;Dr. Oetker;0.0600;kg;1.10;18.33;;;02.05.2025;1.10;5997381317641;Hrana
VANIL.©EÆER DR.OETKER 8 g(5+1);9437;Dr. Oetker;0.0400;kg;1.10;27.50;;;02.05.2025;1.10;5997381367240;Hrana
KOLAÈ KREM©NITE DR.OETKE.230 g;9447;Dr. Oetker;0.2300;kg;3.19;13.87;;;02.05.2025;3.19;5997381329415;Hrana
VANILIN ©EÆER DR.OETKER 8 g;9483;Dr. Oetker;0.0080;kg;0.22;27.50;;;02.05.2025;0.22;5997381367226;Hrana
PRA©AK ZA PECIVO DR.OETKE.12 g;9498;Dr. Oetker;0.0120;kg;0.22;18.33;;;02.05.2025;0.22;5997381311908;Hrana
PRELJ. ZA TORTE SVIJETLI 12GX3;9499;Dr. Oetker;0.0360;kg;2.39;66.39;;;02.05.2025;2.39;5997381370738;Hrana
PRELJEV ZA TORTE SVIJETLI 12 g;9508;Dr. Oetker;0.0120;kg;0.99;82.50;;;02.05.2025;0.99;5997381370714;Hrana
®ELATINA MLJEVEN.BIJELA 3X10 g;9510;Dr. Oetker;0.0300;kg;2.49;83.00;;;02.05.2025;2.49;5997381370707;Hrana
PRELJEV ZA TORTE CRVENI 3X12g;9535;Dr. Oetker;0.0360;kg;2.39;66.39;;;02.05.2025;2.39;5997381324151;Hrana
KOLAÈ PRINCES KRAFNE 310 g;9537;Dr. Oetker;0.3100;kg;3.99;12.87;;;02.05.2025;3.99;5997381319546;Hrana
®ELATINA MLJEVENA BIJELA 10 g;9541;Dr. Oetker;0.0100;kg;0.99;99.00;;;02.05.2025;0.99;5997381370387;Hrana
SMJESA ZA PALAÈINKE 215g;9542;Dr. Oetker;0.2150;kg;2.49;11.58;;;02.05.2025;2.49;5997381329439;Hrana
®ELATINA U LISTIÆ. BIJELA 10g;9546;Dr. Oetker;0.0100;kg;1.79;179.00;;;02.05.2025;1.79;4000521741204;Hrana
RI®A NA MLIJ.DR.OETK.VAN.125 g;9552;Dr. Oetker;0.1250;kg;2.39;19.12;;;02.05.2025;2.39;5997381370097;Hrana
RI®A NA MLIJEKU KLASSIK 125g;9585;Dr. Oetker;0.1250;kg;2.39;19.12;;;02.05.2025;2.39;5997381369787;Hrana
HRANA ZA PSE CES.PUR.GOV.150 g;9592;Cesar;0.1500;kg;1.79;11.93;;;02.05.2025;1.79;4008429041013;Proizvodi za kuæanstvo
MUSLI VITALIS S MEDOM 375 g;9653;Vitalis;0.3750;kg;4.39;11.71;;;02.05.2025;4.39;4000521644604;Hrana
PRELJEV ZA TORTE CRVENI 12g;9656;Dr. Oetker;0.0120;kg;0.99;82.50;;;02.05.2025;0.99;5997381321822;Hrana
PREZERVATIV DUREX EX.SAFE 3/1;9665;Durex;3.0000;kom;;0.93;2.79;3.49;02.05.2025;3.49;5010232968028;Toaletne potrep¹tine
PREZERVATIV DUREX CLASSIC 3/1;9669;Durex;3.0000;kom;;0.93;2.79;3.49;02.05.2025;3.49;5038483159941;Toaletne potrep¹tine
PREZ.DUREX  FEEL INTIMATE 3/1;9672;Durex;3.0000;kom;;1.13;3.39;4.29;02.05.2025;4.29;5010232968011;Toaletne potrep¹tine
HRANA ZA PSE PEDIG.GOV.400 g;9675;Pedigree;0.4000;kg;2.59;6.48;;;02.05.2025;2.59;5900951284519;Proizvodi za kuæanstvo
MUSLI VITALIS ÈOKOLADNI 375 g;9681;Vitalis;0.3750;kg;4.39;11.71;;;02.05.2025;4.39;4000521642105;Hrana
MUSLI VITALIS S MEDOM 600 g;9689;Vitalis;0.6000;kg;5.99;9.98;;;02.05.2025;5.99;4000521661304;Hrana
HRANA ZA PSE PEDIG.GOV.1,2 kg;9717;Pedigree;1.2000;kg;6.29;5.24;;;02.05.2025;6.29;5900951284533;Proizvodi za kuæanstvo
OCAT ACETO BALSAMICO 250 ml;9773;Il Torrione;0.2500;l;3.99;15.96;;;02.05.2025;3.99;8014347000076;Hrana
SIR PARMIGIANO GIGLIO 200 g;9874;;0.2000;kg;7.99;39.95;;;02.05.2025;7.99;8011661001154;Hrana
SIR GRANA PADANO PARMA 200 g ;9885;Grana;0.2000;kg;5.49;27.45;;;02.05.2025;5.49;8011661000737;Hrana
GEL WC NET ODST.KAMENCA 750 ml;9886;Wc Net;0.7500;l;2.75;3.67;;;02.05.2025;2.75;8004050021123;Sredstva za èi¹æenje
OCAT JABUÈNI BARRIQUE 500 ml;9894;Mautner Markhof;0.5000;l;4.69;9.38;;;02.05.2025;4.69;9011900138343;Hrana
OCAT JABUÈNI 5% 1000 ml;9903;Mautner Markhof;1.0000;l;2.79;2.79;;;02.05.2025;2.79;9011900104683;Hrana
SENF ESTRAGON MAUTNERMA.200 g;9906;Mautner Markhof;0.2000;kg;1.99;9.95;;;02.05.2025;1.19;9011900139616;Hrana
UMAK POCOLOCO RAJÈICA 315 g;9911;Poco Loco;0.3150;kg;3.09;9.81;;;02.05.2025;3.09;5412514999919;Hrana
UMAK POCOLOCO TORTILLA 300 g;9918;;0.3000;kg;4.09;13.63;;;02.05.2025;4.09;5412514999940;Hrana
HREN STOLNI MAUTNERMARK.100 g;9921;Mautner Markhof;0.1000;kg;1.98;19.80;;;02.05.2025;1.98;90119736;Hrana
SENF L ANCIENNE STAKLO 190 ml;9928;;0.1900;l;3.59;18.89;;;02.05.2025;3.59;3563490110125;Hrana
SENF DIJON LJUTI STAK. 200 ml;9930;;0.2000;l;3.39;16.95;;;02.05.2025;3.39;3563490010098;Hrana
KOLAÈ PRINCES KRA.PAVONE 100 g;9962;;0.1000;kg;2.59;25.90;;;02.05.2025;2.59;8006420101008;Hrana
KOLAÈ PRINCES KRA.PAVONE 200 g;9966;;0.2000;kg;4.79;23.95;;;02.05.2025;4.79;8006420102005;Hrana
OCAT ACETO BALSAMICO 250 ml;9973;Monari;0.2500;l;3.39;13.56;;;02.05.2025;3.39;8003185003981;Hrana
OCAT BALSAMICO SILVER 500 ml;9976;Monari;0.5000;l;4.49;8.98;;;02.05.2025;4.49;8003185008931;Hrana
OCAT BALSAM.STANDARD 500 ml;9978;Monari;0.5000;l;3.49;6.98;;;02.05.2025;3.49;8003185000010;Hrana
PESTO SACLA ARRABIATA 190 g;9980;Sacla;0.1900;kg;3.29;17.32;;;02.05.2025;3.29;8001060001930;Hrana
PESTO SACLA BOSILJAK 190 g;9998;Sacla;0.1900;kg;3.99;21.00;;;02.05.2025;3.99;8001060001848;Hrana
TAMPONI O.B.NORMAL 16/1;10033;o.b.;16.0000;kom;4.29;0.27;;;02.05.2025;4.09;3574660089318;Toaletne potrep¹tine
TAMPONI O.B.SUPER 16/1;10040;o.b.;16.0000;kom;4.35;0.27;;;02.05.2025;4.19;3574660089332;Toaletne potrep¹tine
TAMP.O.B.PRO COMFO.NORMAL 16/1;10058;o.b.;16.0000;kom;4.39;0.27;;;02.05.2025;4.19;3574660234428;Toaletne potrep¹tine
TAMP.O.B.PRO COMFO.SUPER 16/1;10072;o.b.;16.0000;kom;4.39;0.27;;;02.05.2025;4.19;3574660234541;Toaletne potrep¹tine
ÈOK.DORINA S LEDENI.PUNJ.100 g;10087;Dorina;0.1000;kg;1.99;19.90;;;02.05.2025;1.99;3850102117215;Hrana
ÈOK.DORINA MLIJEÈNA  80 g;10100;Dorina;0.0800;kg;1.03;12.88;;;02.05.2025;1.03;3850102111961;Hrana
ÈOK.DORINA KUHANJE KRA© 200 g;10197;Dorina;0.2000;kg;3.89;19.45;;;02.05.2025;3.89;3850102113613;Hrana
ÈOK.DORINA KUHANJE KRA© 100 g;10205;Dorina;0.1000;kg;2.09;20.90;;;02.05.2025;2.09;3850102110605;Hrana
ÈOK.DORINA KEKS  80 g;10228;Dorina;0.0800;kg;1.89;23.63;;;02.05.2025;1.89;3850102117970;Hrana
CORNFLAKES BRUGGEN 500 g;10304;;0.5000;kg;2.19;4.38;;;02.05.2025;2.19;4008713707526;Hrana
ZOB.PAH.BRUGGEN SITNE 500 g;10316;Bruggen;0.5000;kg;0.99;1.98;;;02.05.2025;0.99;4008713702804;Hrana
BOMBONI PEPERMINT KRA© 100 g;10331;Kra¹;0.1000;kg;1.29;12.90;;;02.05.2025;1.29;3850102210312;Hrana
BOMBONI 505 BEZ ©EÆERA 80 g;10380;Kra¹;0.0800;kg;1.49;18.63;;;02.05.2025;1.49;3850102216383;Hrana
BOMBONI MENTOL BEZ ©EÆ. 80 g;10381;Kra¹;0.0800;kg;1.49;18.63;;;02.05.2025;1.49;3850102212460;Hrana
TJEST.DE CECCO FUSILLI 500g;10383;De Cecco;0.5000;kg;3.39;6.78;;;02.05.2025;3.39;8001250120342;Hrana
TJES.DE CECCO PENNE RIGATE500g;10385;De Cecco;0.5000;kg;3.39;6.78;;;02.05.2025;3.39;8001250120410;Hrana
PRELJEV DESE.ÈOKOLADA 230 g;10393;Sladki Greh;0.2300;kg;3.79;16.48;;;02.05.2025;3.79;3838900032787;Hrana
PRELJEV DES.ÈOK. SL.GREH 960 g;10399;Sladki Greh;0.9600;kg;8.99;9.36;;;02.05.2025;8.99;3838900032800;Hrana
BOMBONI MENTOL ZELENI 100 g;10402;Kra¹;0.1000;kg;0.89;8.90;;;02.05.2025;0.89;3850102215614;Hrana
BOMBONIJERA BAJADERA 200 g;10406;Bajadera;0.2000;kg;7.99;39.95;;;02.05.2025;5.99;3850102230044;Hrana
BOMBONIJERA BAJADERA 300 g;10408;Bajadera;0.3000;kg;11.49;38.30;;;02.05.2025;8.99;3850102230051;Hrana
TJES.DE CECCO FARFALLE 500g;10413;De Cecco;0.5000;kg;3.39;6.78;;;02.05.2025;3.39;8001250120939;Hrana
BOMBONIJERA BAJADERA 500 g;10415;Bajadera;0.5000;kg;16.99;33.98;;;02.05.2025;12.74;3850102230068;Hrana
KEKS SPORT KRA© 300 g;10429;Kra¹;0.3000;kg;1.79;5.97;;;02.05.2025;1.79;3850102310111;Hrana
KEKS PETIT BEURRE 200 g;10453;Kra¹;0.2000;kg;1.59;7.95;;;02.05.2025;1.59;3850102311163;Hrana
KEKS PETIT BEURRE 480 g;10462;Kra¹;0.4800;kg;2.99;6.23;;;02.05.2025;2.99;3850102311439;Hrana
KEKS PETIT BEURRE 960 g;10464;Kra¹;0.9600;kg;5.09;5.30;;;02.05.2025;5.09;3850102311446;Hrana
KEKS SPORT KRA© 1000 g;10468;Kra¹;1.0000;kg;4.19;4.19;;;02.05.2025;4.19;3850102311507;Hrana
NAPOLITANKE ÈOKOLAD.KRA© 500 g;10498;Kra¹;0.5000;kg;6.69;13.38;;;02.05.2025;4.99;3850102320073;Hrana
NAPOLITANKE ÈOKOL.KRA© 250 g;10503;Kra¹;0.2500;kg;3.99;15.96;;;02.05.2025;3.99;3850102320080;Hrana
NAPOL.LJE©NJAK DIJETNA 50 g;10535;Kra¹;0.0500;kg;1.09;21.80;;;02.05.2025;1.06;3850102323463;Hrana
LIZALICA ®IV.CARST.LIZLI 15 g;10558;Kra¹;0.0150;kg;0.69;46.00;;;02.05.2025;0.69;38500633;Hrana
ÈOK.LINDT TAMNA  70% 100 g;10585;Lindt;0.1000;kg;2.98;29.80;;;02.05.2025;2.98;3046920071086;Hrana
HRANA ZA PSE FRISK.ACT.500 g;10588;Friskies;0.5000;kg;2.29;4.58;;;02.05.2025;2.29;7613031395460;Proizvodi za kuæanstvo
HRANA ZA PSE FRISK.JUN.500 g;10595;Friskies;0.5000;kg;2.29;4.58;;;02.05.2025;2.29;5997204513199;Proizvodi za kuæanstvo
ODSTR.MRLJA DR.BECKMANN 250 ml;10622;Dr. Beckmann;0.2500;L;3.39;13.56;;;02.05.2025;3.39;4008455342313;Sredstva za èi¹æenje
KRUH SA SUNCOKRETOM 500 g;10628;;0.5000;kg;2.46;4.92;;;02.05.2025;2.46;4000446001742;Hrana
ÈOK.LINDT EXC.TAM.S NAR.100 g;10637;Lindt;0.1000;kg;2.98;29.80;;;02.05.2025;2.98;3046920028370;Hrana
KRUH OD 3 VRSTE ®ITARICA 500 g;10655;Encian;0.5000;kg;2.39;4.78;;;02.05.2025;2.39;4000446001735;Hrana
KRUH FITNESS 500 g;10657;;0.5000;kg;2.32;4.64;;;02.05.2025;2.32;4000446001780;Hrana
MAÈJA HRANA WHISKAS 300 g;10692;Whiskas;0.3000;kg;2.39;7.97;;;02.05.2025;2.39;5998749144183;Proizvodi za kuæanstvo
HRANA ZA MAÈKE WHIS.JANJ.300 g;10699;Whiskas;0.3000;kg;2.39;7.97;;;02.05.2025;2.39;5900951305719;Proizvodi za kuæanstvo
PRALINE LINDOR MILK 200 g;10701;Lindor;0.2000;kg;6.98;34.90;;;02.05.2025;6.98;7610400082549;Hrana
HRANA ZA MAÈ.WHI.PIL.POV.300 g;10709;Whiskas;0.3000;kg;2.39;7.97;;;02.05.2025;2.39;5900951014055;Proizvodi za kuæanstvo
HRANA ZA MAÈ.WHI.JUN.PIL.300 g;10715;Whiskas;0.3000;kg;2.39;7.97;;;02.05.2025;2.39;5900951014079;Proizvodi za kuæanstvo
GEL WC NET MOUNTAI.FRES.750 ml;10740;Wc Net;0.7500;l;2.75;3.67;;;02.05.2025;2.75;8004050036707;Sredstva za èi¹æenje
JABUKA CRVENA 2 kg;10775;Eigenbedarf;2.0000;kg;2.19;1.10;;;02.05.2025;2.19;3859893211157;Hrana
MAÈJA HR.GOURMET PILETINA 85 g;10780;Gourmet Gold;0.0850;kg;0.89;10.47;;;02.05.2025;.92;7613032816537;Proizvodi za kuæanstvo
MAÈJA HR.GOURMET PURETINA 85 g;10783;Gourmet;0.0850;kg;0.89;10.47;;;02.05.2025;.92;7613032814953;Proizvodi za kuæanstvo
MAÈJA HR.GOURM.TUNA OSL.85 g;10799;Gourmet Gold;0.0850;kg;0.89;10.47;;;02.05.2025;.92;7613032814526;Proizvodi za kuæanstvo
MAÈ.HRANA GOURMET PIL.JET.85 g;10801;Gourmet Gold;0.0850;kg;0.89;10.47;;;02.05.2025;.92;7613032814601;Proizvodi za kuæanstvo
MAÈ.HRANA GOURM.PIL.LOS.85 g;10806;Gourmet;0.0850;kg;0.89;10.47;;;02.05.2025;.92;7613032815318;Proizvodi za kuæanstvo
TOFFIFEE 125 g;10946;Toffifee;0.1250;kg;2.99;23.92;;;02.05.2025;2.99;4014400400007;Hrana
BOMBONIJERA MERCI 400 g;10948;Merci;0.4000;kg;13.59;33.98;;;02.05.2025;13.59;4014400900217;Hrana
BOMBONIJERA MERCI GROSSE 250 g;10951;Merci;0.2500;kg;7.99;31.96;;;02.05.2025;7.99;4014400901191;Hrana
BOMBONIJERA MERCI HELLE 250 g;10954;Merci;0.2500;kg;7.99;31.96;;;02.05.2025;7.99;4014400901405;Hrana
BOMBONIJERA MERCI HERBE 250 g;10957;Merci;0.2500;kg;7.99;31.96;;;02.05.2025;7.99;4014400901412;Hrana
CHAMPAGNE MOET CHANDON 0,75 L;10976;Moet & Chandon;0.7500;l;54.99;73.32;;;02.05.2025;54.99;3185370000335;Piæa
CHAMPAGNE DOM PERIGNON 0,75 L;10978;Moet & Chandon;0.7500;l;300.02;400.03;;;02.05.2025;300.02;3185370735695;Piæa
PJEN.ZLATA PENINA RADG.0,75 L;10982;;0.7500;l;16.92;22.56;;;02.05.2025;16.92;3830000341011;Piæa
PJEN.SREBERNA PENIN.RADG0,75 L;10984;;0.7500;l;9.82;13.09;;;02.05.2025;9.82;3830000341110;Piæa
PJENU©AC HENKELL TROC.0,75 L;10994;Henkell;0.7500;l;10.99;14.65;;;02.05.2025;10.89;4003310011625;Piæa
ÈETK.ZA ZUBE COLGATE EX. 1+1;11002;Colgate;1.0000;kom;2.29;2.29;;;02.05.2025;2.29;8714789732244;Kozmetika
ÈETK.ZA ZUBE COL.ZIG ZAG 1 kom;11006;Colgate;1.0000;kom;2.09;2.09;;;02.05.2025;1.99;7610196003544;Kozmetika
LIKER BAILEYS 0,7 L ;11024;Baileys;0.7000;l;24.29;34.70;;;02.05.2025;24.29;5011013100156;Piæa
ZUB.PASTA COLGATE ADVAN.75 ml;11052;Colgate;0.0750;L;2.79;37.20;;;02.05.2025;2.79;8718951312173;Kozmetika
VODKA SMIRNOFF RED 1 L;11071;;1.0000;L;20.89;20.89;;;02.05.2025;20.89;5410316994026;Piæa
VODKA SMIRNOFF RED 0,7 L ;11074;Smirnoff;0.7000;l;16.79;23.99;;;02.05.2025;16.79;5410316671118;Piæa
LIKER SHERIDANS 0,7 L;11078;;0.7000;l;30.38;43.40;;;02.05.2025;30.38;5011013500680;Piæa
GIN GORDONS DRY 0,70 L;11093;Gordon's;0.7000;l;18.99;27.13;;;02.05.2025;18.99;5000289925440;Piæa
RUM CAPTAIN MORGAN 0,7 L;11123;;0.7000;l;19.89;28.41;;;02.05.2025;18.92;5000299223017;Piæa
LJEPILO ZA MI©EVE 135 g;11125;Indor;0.1350;kg;1.79;13.26;;;02.05.2025;1.79;8005831003895;Proizvodi za kuæanstvo
NAMAZ SCHWARTAU MARELICA 340 g;11141;Schwartau;0.3400;kg;5.19;15.26;;;02.05.2025;5.19;4011800840310;Hrana
ZAÈ.BILJ.BOSILJ NADALINA 15g;11146;;0.0150;kg;1.99;132.67;;;02.05.2025;1.99;3858881585027;Hrana
ODST.LAKA ZA NOKTE NORM.125 ml;11151;Indor;0.1250;L;0.99;7.92;;;02.05.2025;0.99;8008423201013;Kozmetika
ODSTR.LAKA ZA NOKTE KAL.125 ml;11157;Indor;0.1250;L;1.09;8.72;;;02.05.2025;1.09;8008423400539;Kozmetika
WHISKEY J.W. RED LABEL 1 L;11158;Johnnie Walker;1.0000;L;26.19;26.19;;;02.05.2025;26.19;5000267013602;Piæa
ODSTR.LAKA ZA NOK.ULJNI 125 ml;11160;Indor;0.1250;L;1.09;8.72;;;02.05.2025;1.09;8008423201112;Kozmetika
ZAÈIN CIMET NADALINA 38 g;11183;;0.0380;kg;2.09;55.00;;;02.05.2025;2.09;3858881585126;Hrana
NAMAZ SCHWARTAU JAGODA 340 g;11189;Schwartau;0.3400;kg;5.19;15.26;;;02.05.2025;5.19;4011800840518;Hrana
NAMAZ SCHWARTAU VI©NJA 340 g;11205;Schwartau;0.3400;kg;3.99;11.74;;;02.05.2025;3.99;4011800841416;Hrana
NAMAZ SCHWARTAU NARANÈA 340 g;11213;Schwartau;0.3400;kg;3.99;11.74;;;02.05.2025;3.99;4011800841119;Hrana
ZAÈIN MJ.VEGETA PODRAVKA 1 kg;11214;;1.0000;kg;5.99;5.99;;5.99;02.05.2025;7.69;3850104047046;Hrana
HENNESSY VS 0,7 L ;11220;Hennessy;0.7000;l;42.02;60.03;;;02.05.2025;42.02;3245995960015;Piæa
NAM.SCHWARTAU BOROVNICA 340 g;11222;Schwartau;0.3400;kg;5.19;15.26;;;02.05.2025;5.19;4011800840815;Hrana
TEK.SAP.PALMOLIVE M&H 300 ml;11231;Palmolive;0.3000;L;2.89;9.63;;;02.05.2025;2.89;8003520013026;Kozmetika
ZAÈIN MJ.VEGETA PODRAVKA 500 g;11234;;0.5000;kg;3.99;7.98;;;02.05.2025;3.99;3850104008443;Hrana
NAMAZ SCHWARTAU ©UM.VOÆE 340 g;11235;Schwartau;0.3400;kg;5.19;15.26;;;02.05.2025;5.19;4011800841812;Hrana
ZAÈIN MJ.VEGETA PODRAVKA 250 g;11241;Podravka;0.2500;kg;2.19;8.76;;;02.05.2025;2.19;3850104008597;Hrana
GRA©AK PODRAVKA 420 g ;11247;Podravka;0.2600;kg;1.49;5.73;;;02.05.2025;1.49;3850104050862;Hrana
ZAÈIN MJ.VEGETA PODRAVKA 75 g;11248;;0.0750;kg;1.09;14.53;;;02.05.2025;1.09;3850104008054;Hrana
GRA©AK PODRAVKA 850 g;11249;Podravka;0.5200;kg;2.59;4.98;;;02.05.2025;2.59;3850104050053;Hrana
ZAÈIN ÈE©NJAK NADALINA 50 g;11255;Nadalina;0.0500;kg;3.49;69.80;;;02.05.2025;3.49;3858881585041;Hrana
ZAÈ.MJ.DALMATI.NADALINA 18g;11262;;0.0180;kg;1.99;110.56;;;02.05.2025;1.99;3858881586079;Hrana
MAHUNE PODRAVKA 420 g ;11263;Podravka;0.1800;kg;1.59;8.83;;;02.05.2025;1.59;3850104050015;Hrana
KUKURUZ ©EÆERAC PODRAVKA 340 g;11284;Podravka;0.2800;kg;1.59;5.68;;;02.05.2025;1.59;3850104063435;Hrana
ÈAJ PODRAVKA ©IPAK 60 g;11338;Podravka;0.0600;kg;2.09;34.83;;;02.05.2025;2.09;3850104072710;Piæa
ÈAJ PODRAVKA KAMILICA 20 g;11342;Podravka;0.0200;kg;1.59;79.50;;;02.05.2025;1.59;3850104072727;Piæa
KRASTAVCI PODRAVKA DELIK.330 g;11347;Podravka;0.1750;kg;2.49;14.23;;;02.05.2025;2.49;3850104093012;Hrana
KRASTAVCI PODRAVKA DELIK.670 g;11351;Podravka;0.3700;kg;2.99;8.08;;;02.05.2025;2.99;3850104050244;Hrana
INS.KAV.CRONAT GOLD STAK.100 g;11378;Jacobs;0.1000;kg;8.89;88.90;;;02.05.2025;7.69;8711000532874;Piæa
INS.KAV.JACOBS CRON.GOLD 200 g;11381;Jacobs;0.2000;kg;14.99;74.95;;;02.05.2025;12.99;8711000532904;Piæa
PAPRIKA PODRAVKA PEÈENA 650 g;11383;Podravka;0.4000;kg;3.99;9.98;;;02.05.2025;3.99;3850104209291;Hrana
